'Expansion', 'Goal Tests', 'New Nodes', 'Plan Length', 'Time Elapsed (s)'
'43','56','180','6','0.06808812099995976'
'43','56','180','6','0.06578045099996643'
'43','56','180','6','0.09649149300003046'
'43','56','180','6','0.06566608599996471'
'43','56','180','6','0.06609065800000735'
'21','22','84','20','0.03055135199997494'
'21','22','84','20','0.05547578699997757'
'21','22','84','20','0.031147653000004993'
'21','22','84','20','0.03104139100003067'
'21','22','84','20','0.030925542999966638'
'55','57','224','6','0.07940713200002847'
'55','57','224','6','0.08486299399999098'
'55','57','224','6','0.08001415199998974'
'55','57','224','6','0.08360441299998911'
'55','57','224','6','0.10974381400001221'
'3343','4609','30509','9','23.30062659700002'
'3343','4609','30509','9','24.37334232500001'
'3343','4609','30509','9','23.90133220900003'
'3343','4609','30509','9','23.14186264099999'
'3343','4609','30509','9','22.585003057999984'
'624','625','5602','619','9.78144344499998'
'624','625','5602','619','9.747143179000034'
'624','625','5602','619','9.79529562199997'
'624','625','5602','619','9.740428150000014'
'624','625','5602','619','9.892728234999936'
'4853','4855','44041','9','31.872652395000046'
'4853','4855','44041','9','32.000198477000026'
'4853','4855','44041','9','31.847557361999975'
'4853','4855','44041','9','32.02584575500009'
'4853','4855','44041','9','32.28439493500002'
'14663','18098','129631','12','144.63900812199995'
'14663','18098','129631','12','133.00649112099995'
'14663','18098','129631','12','133.76146754800004'
'14663','18098','129631','12','133.2350542459999'
'14663','18098','129631','12','132.76574136700015'
'408','409','3364','392','4.981658565000089'
'408','409','3364','392','4.947726353000007'
'408','409','3364','392','4.954232675999947'
'408','409','3364','392','4.990983138999809'
'408','409','3364','392','5.007862745000011'
'18222','18224','159608','12','153.2660265500001'
'18222','18224','159608','12','161.28428819200008'
'18222','18224','159608','12','206.09531400200012'
'18222','18224','159608','12','143.9266339369999'
'18222','18224','159608','12','140.83948099199984'
